neighborhood,count
Midtown Center,48
Times Sq/Theatre District,47
Upper East Side North,38
Murray Hill,38
Upper East Side South,36
Midtown East,35
Clinton East,34
Penn Station/Madison Sq West,33
East Village,29
Upper West Side South,27
Yorkville West,25
Union Sq,24
Midtown North,24
West Village,24
TriBeCa/Civic Center,22
Lower East Side,22
Lincoln Square East,22
Lenox Hill East,21
Flatiron,20
Greenwich Village North,20
Yorkville East,19
Kips Bay,19
East Chelsea,19
Midtown South,18
JFK Airport,18
Gramercy,18
LaGuardia Airport,18
Sutton Place/Turtle Bay North,17
Clinton West,17
Little Italy/NoLiTa,16
Lenox Hill West,15
SoHo,15
UN/Turtle Bay South,15
Upper West Side North,14
West Chelsea/Hudson Yards,14
Meatpacking/West Village West,13
Battery Park City,13
Central Park,11
Greenwich Village South,10
Lincoln Square West,10
Garment District,10
East Harlem South,9
Manhattan Valley,8
Financial District North,8
Hudson Sq,7
Stuy Town/Peter Cooper Village,4
East Harlem North,3
Central Harlem,3
Astoria,3
Williamsburg (South Side),3
Morningside Heights,3
World Trade Center,3
Park Slope,3
Bloomingdale,2
Alphabet City,2
Two Bridges/Seward Park,2
East Williamsburg,2
Seaport,2
Financial District South,2
Boerum Hill,2
Hamilton Heights,2
Jackson Heights,1
Old Astoria,1
Bushwick South,1
Springfield Gardens North,1
Greenpoint,1
Prospect Park,1
South Williamsburg,1
Long Island City/Hunters Point,1
Downtown Brooklyn/MetroTech,1
Chinatown,1
Maspeth,1
Cobble Hill,1
Gowanus,1
Steinway,1
Williamsburg (North Side),1
Central Harlem North,1
Carroll Gardens,1
Brooklyn Heights,1
Prospect Heights,1
